release_speed;player_name;events;description;des;stand;p_throws;type;pitch_name;bat_speed;bat_win_exp;balls;strikes;outs_when_up;inning;inning_topbot;effective_speed;release_spin_rate
97.3;Holmes, Clay;;ball;Max Muncy called out on strikes.;L;R;B;Sinker;;0.29;0;0;2;7;Top;96.2;2262
97.2;Holmes, Clay;walk;ball;Teoscar Hernandez walks. Freddie Freeman to 2nd.;R;R;B;Sinker;;0.251;3;0;2;7;Top;95.6;2366
96.8;Holmes, Clay;;ball;Teoscar Hernandez walks. Freddie Freeman to 2nd.;R;R;B;Sinker;;0.251;2;0;2;7;Top;94.9;2275
96.2;Holmes, Clay;;ball;Teoscar Hernandez walks. Freddie Freeman to 2nd.;R;R;B;Sinker;;0.251;1;0;2;7;Top;94.8;2364
96;Holmes, Clay;;ball;Teoscar Hernandez walks. Freddie Freeman to 2nd.;R;R;B;Sinker;;0.251;0;0;2;7;Top;94.3;2341
94.1;Cole, Gerrit;walk;ball;Freddie Freeman walks.;L;R;B;Sinker;;0.226;3;1;2;7;Top;94.2;2247
89.5;Cole, Gerrit;;ball;Freddie Freeman walks.;L;R;B;Changeup;;0.226;2;1;2;7;Top;89.6;1530
93.3;Cole, Gerrit;;ball;Freddie Freeman walks.;L;R;B;Cutter;;0.226;1;1;2;7;Top;93.1;2684
97;Cole, Gerrit;;foul;Freddie Freeman walks.;L;R;S;4-Seam Fastball;77.5;0.226;1;0;2;7;Top;96.1;2459
89.4;Cole, Gerrit;;ball;Freddie Freeman walks.;L;R;B;Changeup;;0.226;0;0;2;7;Top;89.1;1568
91.8;Cole, Gerrit;field_out;hit_into_play;Mookie Betts grounds out, pitcher Gerrit Cole to first baseman Anthony Rizzo.;R;R;X;Cutter;61.7;0.257;0;1;1;7;Top;91.4;2538
