release_speed;player_name;events;description;des;stand;p_throws;type;pitch_name;bat_speed;bat_win_exp;balls;strikes;outs_when_up;inning;inning_topbot;effective_speed;release_spin_rate
85.6;Flaherty, Jack;;ball;Giancarlo Stanton lines out to center fielder Enrique Hernandez.;R;R;B;Slider;;0.802;0;0;1;1;Bot;86.3;2401
93.3;Flaherty, Jack;home_run;hit_into_play;Jazz Chisholm Jr. homers (2) on a fly ball to right center field.;L;R;X;4-Seam Fastball;;0.724;2;1;1;1;Bot;94.2;2230
93.3;Flaherty, Jack;;called_strike;Jazz Chisholm Jr. homers (2) on a fly ball to right center field.;L;R;S;4-Seam Fastball;;0.724;2;0;1;1;Bot;93.9;2142
77.5;Flaherty, Jack;;ball;Jazz Chisholm Jr. homers (2) on a fly ball to right center field.;L;R;B;Knuckle Curve;;0.724;1;0;1;1;Bot;77.4;2341
93.5;Flaherty, Jack;;ball;Jazz Chisholm Jr. homers (2) on a fly ball to right center field.;L;R;B;4-Seam Fastball;;0.724;0;0;1;1;Bot;93.8;2185
93.7;Flaherty, Jack;home_run;hit_into_play;Aaron Judge homers (3) on a fly ball to right center field. Juan Soto scores.;R;R;X;4-Seam Fastball;75.9;0.55;0;0;1;1;Bot;94.2;2228
85.2;Flaherty, Jack;walk;ball;Juan Soto walks.;L;R;B;Slider;;0.526;3;1;1;1;Bot;85.4;2405
92.5;Flaherty, Jack;;called_strike;Juan Soto walks.;L;R;S;4-Seam Fastball;;0.526;3;0;1;1;Bot;93.2;2159
93.5;Flaherty, Jack;;ball;Juan Soto walks.;L;R;B;4-Seam Fastball;;0.526;2;0;1;1;Bot;94;2124
77.6;Flaherty, Jack;;ball;Juan Soto walks.;L;R;B;Knuckle Curve;;0.526;1;0;1;1;Bot;78;2305
78.2;Flaherty, Jack;;ball;Juan Soto walks.;L;R;B;Knuckle Curve;;0.526;0;0;1;1;Bot;78.3;2432
86;Flaherty, Jack;field_out;hit_into_play;Gleyber Torres grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.;R;R;X;Slider;66;0.547;1;2;0;1;Bot;86.8;2438
86.8;Flaherty, Jack;;ball;Gleyber Torres grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.;R;R;B;Slider;;0.547;0;2;0;1;Bot;88.1;2507
93.9;Flaherty, Jack;;called_strike;Gleyber Torres grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.;R;R;S;4-Seam Fastball;;0.547;0;1;0;1;Bot;94.6;2245
93.6;Flaherty, Jack;;swinging_strike;Gleyber Torres grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.;R;R;S;4-Seam Fastball;74.6;0.547;0;0;0;1;Bot;94.2;2334
96.9;Cole, Gerrit;field_out;hit_into_play;Freddie Freeman flies out to left fielder Alex Verdugo.;L;R;X;4-Seam Fastball;63.1;0.463;0;2;2;1;Top;95.9;2428
89.3;Cole, Gerrit;;called_strike;Freddie Freeman flies out to left fielder Alex Verdugo.;L;R;S;Changeup;;0.463;0;1;2;1;Top;89.2;1513
96.4;Cole, Gerrit;;foul;Freddie Freeman flies out to left fielder Alex Verdugo.;L;R;S;4-Seam Fastball;74.2;0.463;0;0;2;1;Top;96.4;2335
87.9;Cole, Gerrit;field_out;hit_into_play;Mookie Betts grounds out to first baseman Anthony Rizzo.;R;R;X;Slider;67.4;0.478;1;1;1;1;Top;87.6;2645
96.5;Cole, Gerrit;;ball;Mookie Betts grounds out to first baseman Anthony Rizzo.;R;R;B;4-Seam Fastball;;0.478;0;1;1;1;Top;95.7;2318
81.4;Cole, Gerrit;;called_strike;Mookie Betts grounds out to first baseman Anthony Rizzo.;R;R;S;Knuckle Curve;;0.478;0;0;1;1;Top;80.3;2747
95.6;Cole, Gerrit;field_out;hit_into_play;Shohei Ohtani flies out to center fielder Aaron Judge.;L;R;X;4-Seam Fastball;85;0.5;0;0;0;1;Top;94.8;2458
